,0,1,2,3,4,5
0,DATA SYSTEMS INTEGRATION GROUP INC,DATABASE ADMINISTRATOR,68000.0,RICHMOND VA,11/18/2014,11/25/2014
1,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,61506.0,DURHAM NC,11/11/2014,11/18/2014
2,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,65000.0,ADDISON TX,11/19/2014,11/26/2014
3,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,67000.0,LANSING MI,10/21/2014,10/28/2014
4,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,73000.0,GERMANTOWN MD,10/24/2014,10/31/2014
5,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,75000.0,FOSTER CITY CA,10/08/2014,10/15/2014
6,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE ANALYST,60000.0,COLUMBUS OH,12/09/2014,12/16/2014
7,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE DEVELOPER,60008.0,GRAND RAPIDS MI,10/02/2014,10/09/2014
8,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE DEVELOPER,73445.0,NEW YORK NY,11/06/2014,11/13/2014
9,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER,61000.0,COLUMBUS OH,12/12/2014,05/21/2015
10,"

",,,,,
11,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER,62000.0,CHARLOTTE NC,11/18/2014,11/25/2014
12,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER,64418.0,DALLAS TX,11/19/2014,11/25/2014
13,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER,70000.0,COLUMBUS OH,11/06/2014,11/13/2014
14,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,68000.0,BELLINGHAM WA,12/26/2014,01/02/2015
15,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROJECT MANAGER,72000.0,SAINT LOUIS MO,10/02/2014,10/09/2014
0,DATA SYSTEMS INTEGRATION GROUP INC,APPLICATION PROGRAMMER,60000.0,COLUMBUS OH,07/16/2015,07/31/2015
1,DATA SYSTEMS INTEGRATION GROUP INC,BUSINESS ANALYST,75000.0,EAST WINDSOR NJ,10/29/2015,11/05/2015
2,DATA SYSTEMS INTEGRATION GROUP INC,COMPUTER SYSTEMS ANALYST,69805.0,SUNNYVALE CA,10/09/2015,10/19/2015
3,DATA SYSTEMS INTEGRATION GROUP INC,DATABASE ADMINISTRATOR,65000.0,DUBLIN OH,02/13/2015,08/12/2015
4,DATA SYSTEMS INTEGRATION GROUP INC,DATABASE ADMINISTRATOR,65000.0,DUBLIN OH,02/13/2015,08/12/2015
5,DATA SYSTEMS INTEGRATION GROUP INC,DATABASE ADMINISTRATOR,65000.0,DANBURY CT,03/04/2015,08/30/2015
6,DATA SYSTEMS INTEGRATION GROUP INC,DATABASE ADMINISTRATOR,65000.0,DUBLIN OH,03/04/2015,08/30/2015
7,DATA SYSTEMS INTEGRATION GROUP INC,DATABASE ADMINISTRATOR,65000.0,DUBLIN OH,03/04/2015,08/30/2015
8,DATA SYSTEMS INTEGRATION GROUP INC,DATABASE ADMINISTRATOR,65000.0,DUBLIN OH,03/04/2015,08/31/2015
9,DATA SYSTEMS INTEGRATION GROUP INC,DATABASE ADMINISTRATOR,65000.0,DUBLIN OH,03/16/2015,09/12/2015
10,"

",,,,,
11,DATA SYSTEMS INTEGRATION GROUP INC,DATABASE ADMINISTRATOR,70000.0,NEWARK NJ,03/09/2015,09/05/2015
12,DATA SYSTEMS INTEGRATION GROUP INC,DATABASE ADMINISTRATOR,71802.0,BOSTON MA,07/28/2015,08/04/2015
13,DATA SYSTEMS INTEGRATION GROUP INC,ETL DEVELOPER,100000.0,PHOENIX AZ,11/05/2015,11/11/2015
14,DATA SYSTEMS INTEGRATION GROUP INC,ETL DEVELOPER,100000.0,ENGLEWOOD CO,07/17/2015,07/23/2015
15,DATA SYSTEMS INTEGRATION GROUP INC,ETL DEVELOPER,100000.0,ENGLEWOOD CO,07/22/2015,07/23/2015
16,DATA SYSTEMS INTEGRATION GROUP INC,JAVA DEVELOPER,75000.0,HARRISBURG PA,05/11/2015,05/18/2015
17,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,64875.0,DURHAM NC,12/08/2015,01/19/2016
18,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,65000.0,WARREN NJ,02/16/2015,08/15/2015
19,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,68000.0,DUBLIN OH,01/06/2015,01/13/2015
20,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,68619.0,FORT WORTH TX,01/09/2015,01/13/2015
21,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,70000.0,MANHATTAN NY,05/18/2015,05/25/2015
22,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,71802.0,BOSTON MA,05/13/2015,05/19/2015
23,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,72000.0,SAN ANTONIO TX,10/09/2015,10/12/2015
24,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,72010.0,NEW YORK NY,07/10/2015,07/16/2015
25,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,75000.0,LANSING MI,05/13/2015,05/19/2015
26,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,75000.0,DUBLIN OH,10/16/2015,10/23/2015
27,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,75000.0,OWINGS MILLS MD,11/04/2015,11/11/2015
28,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,140000.0,STAMFORD CT,09/15/2015,09/21/2015
29,DATA SYSTEMS INTEGRATION GROUP INC,PROJECT MANAGER,85000.0,NEW YORK NY,10/28/2015,11/05/2015
30,DATA SYSTEMS INTEGRATION GROUP INC,SENIOR SOLUTIONS ARCHITECT,130000.0,STAMFORD CT,09/17/2015,09/23/2015
31,DATA SYSTEMS INTEGRATION GROUP INC,SHAREPOINT ADMINISTRATOR,61318.0,CHICAGO IL,04/07/2015,04/14/2015
32,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE ANALYST,67621.0,HERNDON VA,06/16/2015,06/23/2015
33,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE DEVELOPER,62046.0,CHARLOTTE NC,04/24/2015,05/01/2015
34,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE DEVELOPER,62982.0,COLUMBUS OH,10/05/2015,10/09/2015
35,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER,60000.0,COLUMBUS OH,04/28/2015,05/05/2015
36,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER,60000.0,COLUMBUS OH,02/11/2015,02/18/2015
37,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER,60362.0,NAPERVILLE IL,02/04/2015,02/12/2015
38,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER,61000.0,COLUMBUS OH,01/14/2015,01/20/2015
39,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER,62000.0,CHARLOTTE NC,03/03/2015,03/10/2015
40,"




",,,,,
41,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER,62000.0,PHOENIX AZ,06/16/2015,06/23/2015
42,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER,62421.0,COLUMBUS OH,05/13/2015,05/20/2015
43,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER,62982.0,COLUMBUS OH,07/24/2015,07/24/2015
44,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER,63128.0,CHARLOTTE NC,07/13/2015,07/20/2015
45,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER,64418.0,ALBANY NY,03/30/2015,04/06/2015
46,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER,65000.0,DUBLIN OH,01/06/2015,01/13/2015
47,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER,65000.0,DUBLIN OH,01/15/2015,01/22/2015
48,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER,65000.0,DUBLIN OH,01/20/2015,01/27/2015
49,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER,65000.0,DUBLIN OH,03/04/2015,08/31/2015
50,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER,65000.0,DUBLIN OH,03/04/2015,08/30/2015
51,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER,65000.0,DUBLIN OH,03/05/2015,08/31/2015
52,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER,68619.0,FORTH WORTH TX,06/16/2015,06/23/2015
53,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER,72000.0,COLUMBUS OH,11/09/2015,11/16/2015
54,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER,73445.0,ANOKA MN,05/05/2015,05/12/2015
55,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER,73445.0,JERSEY CITY NJ,03/02/2015,03/09/2015
56,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER,73445.0,CHANHASSEN MN,09/16/2015,09/23/2015
57,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,PARK RIDGE NJ,09/28/2015,10/01/2015
58,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,02/13/2015,08/12/2015
59,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,02/16/2015,08/15/2015
60,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,02/16/2015,08/15/2015
61,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,02/16/2015,08/15/2015
62,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,02/23/2015,08/22/2015
63,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,03/04/2015,08/30/2015
64,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,03/04/2015,08/30/2015
65,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,03/04/2015,08/30/2015
66,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,03/04/2015,08/30/2015
67,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,03/04/2015,08/30/2015
68,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,03/05/2015,08/31/2015
69,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,03/05/2015,08/31/2015
70,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,03/09/2015,09/05/2015
71,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,03/09/2015,09/05/2015
72,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,12/17/2015,12/24/2015
73,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,03/11/2015,09/07/2015
74,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,03/11/2015,09/07/2015
75,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,CHARLOTTE NC,03/14/2015,08/08/2015
76,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,CHARLOTTE NC,02/09/2015,08/08/2015
77,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,PHILADELPHIA PA,02/09/2015,08/08/2015
78,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,02/11/2015,08/09/2015
79,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,02/11/2015,08/09/2015
80,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,02/11/2015,08/10/2015
81,"




",,,,,
82,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,02/11/2015,08/09/2015
83,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,02/11/2015,08/09/2015
84,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,02/11/2015,08/10/2015
85,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,02/11/2015,08/10/2015
86,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,02/11/2015,08/09/2015
87,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,02/11/2015,08/10/2015
88,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,02/11/2015,08/09/2015
89,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,02/11/2015,08/09/2015
90,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,65000.0,DUBLIN OH,07/07/2015,07/14/2015
91,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,68000.0,BOSTON MA,02/09/2015,08/08/2015
92,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,70000.0,COLUMBUS OH,07/28/2015,09/30/2015
93,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,70000.0,DUBLIN OH,08/14/2015,08/21/2015
94,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROGRAMMER ANALYST,70000.0,COLUMBUS OH,08/20/2015,08/27/2015
95,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE PROJECT MANAGER,70000.0,PHOENIX AZ,02/17/2015,02/24/2015
96,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE QA ANALYST,65000.0,DUBLIN OH,02/13/2015,08/12/2015
97,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE QA ANALYST,65000.0,DUBLIN OH,02/17/2015,08/15/2015
98,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE QA ANALYST,65000.0,COLUMBUS OH,02/09/2015,08/08/2015
99,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE QA ANALYST,70000.0,COLUMBUS OH,02/20/2015,02/27/2015
100,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE QA ANALYST,70000.0,CHICAGO IL,06/17/2015,06/23/2015
101,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE QA ANALYST,95000.0,COLUMBUS OH,04/30/2015,05/07/2015
102,DATA SYSTEMS INTEGRATION GROUP INC,SOFTWARE SYSTEM ANALYST,61000.0,JACKSON MI,10/05/2015,12/22/2015
0,DATA SYSTEMS INTEGRATION GROUP INC,COMPUTER SYSTEMS ANALYST,74443.0,SUNNYVALE CA,09/13/2016,09/30/2016
1,DATA SYSTEMS INTEGRATION GROUP INC,DATABASE ADMINISTRATOR,65000.0,DUBLIN OH,03/08/2016,09/03/2016
2,DATA SYSTEMS INTEGRATION GROUP INC,DATABASE ADMINISTRATOR,66000.0,CHICAGO IL,10/28/2016,11/04/2016
3,DATA SYSTEMS INTEGRATION GROUP INC,DATABASE ADMINISTRATOR,66000.0,IRVING TX,11/01/2016,11/07/2016
4,DATA SYSTEMS INTEGRATION GROUP INC,DATABASE ADMINISTRATOR,66000.0,ALBUQUERQUE NM,03/08/2016,08/28/2016
5,DATA SYSTEMS INTEGRATION GROUP INC,DATABASE ADMINISTRATOR,66000.0,NEWARK NJ,03/13/2016,08/29/2016
6,DATA SYSTEMS INTEGRATION GROUP INC,DATABASE ADMINISTRATOR,66000.0,DANBURY CT,03/13/2016,08/28/2016
7,DATA SYSTEMS INTEGRATION GROUP INC,DATABASE ADMINISTRATOR,66000.0,SANTA MONICA CA,03/13/2016,08/28/2016
8,DATA SYSTEMS INTEGRATION GROUP INC,DATABASE ADMINISTRATOR,66000.0,VERNON HILLS IL,03/13/2016,08/28/2016
9,DATA SYSTEMS INTEGRATION GROUP INC,DATABASE ADMINISTRATOR,66000.0,CAMP HILL PA,03/17/2016,08/28/2016
10,"

",,,,,
11,DATA SYSTEMS INTEGRATION GROUP INC,DATABASE ADMINISTRATOR,70000.0,PLYMOUTH MN,03/08/2016,09/04/2016
12,DATA SYSTEMS INTEGRATION GROUP INC,DATABASE ADMINISTRATOR,70000.0,BOTHELL WA,03/13/2016,08/30/2016
13,DATA SYSTEMS INTEGRATION GROUP INC,DATABASE ADMINISTRATOR,70000.0,GOLDEN VALLEY MN,03/28/2016,09/24/2016
14,DATA SYSTEMS INTEGRATION GROUP INC,DATABASE ADMINISTRATOR,70000.0,NEW YORK NY,09/13/2016,10/01/2016
15,DATA SYSTEMS INTEGRATION GROUP INC,DATABASE ADMINISTRATOR,71802.0,BOSTON MA,07/15/2016,09/10/2016
16,DATA SYSTEMS INTEGRATION GROUP INC,DATABASE ADMINISTRATOR,75000.0,BOSTON MA,03/08/2016,09/04/2016
17,DATA SYSTEMS INTEGRATION GROUP INC,DATABASE ADMINSTRATOR,68000.0,RICHMOND VA,01/14/2016,01/20/2016
18,DATA SYSTEMS INTEGRATION GROUP INC,DATABASE ADMINSTRATOR,68000.0,MORRISVILLE NC,01/14/2016,01/20/2016
19,DATA SYSTEMS INTEGRATION GROUP INC,MYSQL DATABASE ADMINISTRATOR,70000.0,BOTHELL WA,03/07/2016,08/30/2016
20,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,65000.0,MEMPHIS TN,06/24/2016,07/02/2016
21,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,ATLANTA GA,03/05/2016,08/29/2016
22,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,CAMP HILL PA,03/05/2016,08/28/2016
23,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,VERNON HILLS IL,03/05/2016,08/28/2016
24,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,DUBLIN OH,03/05/2016,08/28/2016
25,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,PHOENIX AZ,03/05/2016,08/28/2016
26,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,DANBURY CT,03/05/2016,08/28/2016
27,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,CHARLOTTESVILLE VA,03/05/2016,08/28/2016
28,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,BOCA RATON FL,03/05/2016,08/29/2016
29,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,BETHPAGE NY,03/05/2016,08/28/2016
30,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,BLOOMINGTON IL,03/05/2016,08/29/2016
31,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,DORAL FL,03/05/2016,08/29/2016
32,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,PISCATAWAY NJ,03/05/2016,08/28/2016
33,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,MT. LAURAL NJ,03/05/2016,08/28/2016
34,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,CARY NC,03/05/2016,08/28/2016
35,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,CHARLOTTE NC,03/05/2016,08/29/2016
36,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,CARY NC,03/05/2016,08/29/2016
37,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,RICHMOND VA,03/05/2016,08/31/2016
38,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,COLUMBUS OH,03/05/2016,08/29/2016
39,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,MADISON WI,03/05/2016,08/28/2016
40,"




",,,,,
41,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,ALBUQUERQUE NM,03/05/2016,08/28/2016
42,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,NASHVILLE TN,03/05/2016,08/28/2016
43,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,COLUMBUS OH,03/05/2016,08/29/2016
44,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,WESTERVILLE OH,03/08/2016,09/03/2016
45,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,COLUMBUS OH,03/09/2016,08/31/2016
46,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,BETHPAGE NY,03/14/2016,09/09/2016
47,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,FALMOUTH ME,03/14/2016,09/09/2016
48,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,RICHARDSON TX,03/15/2016,09/10/2016
49,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,DORAL FL,03/15/2016,08/29/2016
50,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,PLEASANTON CA,03/05/2016,08/29/2016
51,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,VIENNA VA,03/05/2016,08/28/2016
52,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,SAN DIEGO CA,03/05/2016,08/29/2016
53,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,FRANKLIN LAKES NJ,03/05/2016,08/29/2016
54,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,NEWARK NJ,03/05/2016,08/29/2016
55,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,CLAYMONT DE,03/05/2016,08/29/2016
56,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,WALTHAM MA,03/05/2016,08/29/2016
57,DATA SYSTEMS INTEGRATION GROUP INC,PROGRAMMER ANALYST,66000.0,SANTA MONICA CA,03/05/2016,08/28/2016
