,0,1,2,3,4,5
0,UNIVERSITY OF MARYLAND BALTIMORE,DIRECTOR SYSTEMS ADMINISTRATION,128502.0,BALTIMORE MD,10/06/2014,10/20/2014
1,UNIVERSITY OF MARYLAND BALTIMORE,PHARMACIST,90352.0,BALTIMORE MD,09/30/2014,11/04/2014
2,UNIVERSITY OF MARYLAND BALTIMORE,PHARMACIST RESEARCH,91000.0,BALTIMORE MD,11/24/2014,12/15/2014
3,UNIVERSITY OF MARYLAND BALTIMORE,POSTDOCTORAL FELLOW,43075.0,BALTIMORE MD,11/20/2014,01/05/2015
4,UNIVERSITY OF MARYLAND BALTIMORE,POSTDOCTORAL FELLOW,44169.0,BALTIMORE MD,06/09/2014,09/14/2014
5,UNIVERSITY OF MARYLAND BALTIMORE,POSTDOCTORAL FELLOW,45082.0,BALTIMORE MD,10/02/2014,11/07/2014
6,UNIVERSITY OF MARYLAND BALTIMORE,POSTDOCTORAL FELLOW,46000.0,BALTIMORE MD,11/25/2014,04/30/2015
7,UNIVERSITY OF MARYLAND BALTIMORE,POSTDOCTORAL FELLOW,48000.0,BALTIMORE MD,12/08/2014,12/31/2014
8,UNIVERSITY OF MARYLAND BALTIMORE,POSTDOCTORAL FELLOW,48672.0,BALTIMORE MD,10/08/2014,11/15/2014
9,UNIVERSITY OF MARYLAND BALTIMORE,POSTDOCTORAL FELLOW,51688.0,BALTIMORE MD,10/02/2014,10/20/2014
10,"

",,,,,
11,UNIVERSITY OF MARYLAND BALTIMORE,POSTDOCTORAL FELLOW,51688.0,BALTIMORE MD,12/16/2014,01/12/2015
12,UNIVERSITY OF MARYLAND BALTIMORE,RESEARCH ASSISTANT LABORATORY,42000.0,BALTIMORE MD,11/20/2014,12/15/2014
13,UNIVERSITY OF MARYLAND BALTIMORE,RESEARCH ASSISTANT LABORATORY,41766.0,BALTIMORE MD,10/23/2014,01/31/2015
14,UNIVERSITY OF MARYLAND BALTIMORE,RESEARCH ASSOCIATE,80000.0,BALTIMORE MD,11/21/2014,02/01/2015
15,UNIVERSITY OF MARYLAND BALTIMORE,SENIOR RESEARCH ANALYST,58739.0,BALTIMORE MD,11/24/2014,12/15/2014
0,UNIVERSITY OF MARYLAND BALTIMORE,ASSISTANT PROFESSOR,92634.0,BALTIMORE MD,01/09/2015,02/23/2015
1,UNIVERSITY OF MARYLAND BALTIMORE,ASSISTANT PROFESSOR,94894.0,BALTIMORE MD,03/30/2015,04/30/2015
2,UNIVERSITY OF MARYLAND BALTIMORE,ASSISTANT PROFESSOR,99807.0,BALTIMORE MD,12/21/2015,03/17/2016
3,UNIVERSITY OF MARYLAND BALTIMORE,ASSISTANT PROFESSOR,99807.0,BALTIMORE MD,12/21/2015,03/17/2016
4,UNIVERSITY OF MARYLAND BALTIMORE,ASSISTANT PROFESSOR,175000.0,BALTIMORE MD,06/29/2015,08/01/2015
5,UNIVERSITY OF MARYLAND BALTIMORE,ASSISTANT PROFESSOR,200391.0,BALTIMORE MD,07/23/2015,08/31/2015
6,UNIVERSITY OF MARYLAND BALTIMORE,ASSISTANT PROFESSOR,200391.0,BALTIMORE MD,07/23/2015,08/31/2015
7,UNIVERSITY OF MARYLAND BALTIMORE,ASSISTANT PROFESSOR MEDICAL PHYSICIST,130000.0,COLUMBIA MD,06/09/2015,07/01/2015
8,UNIVERSITY OF MARYLAND BALTIMORE,ASSISTANT PROFESSOR MEDICAL PHYSICIST,161630.0,COLUMBIA MD,05/05/2015,06/16/2015
9,UNIVERSITY OF MARYLAND BALTIMORE,BIOINFORMATICS ANALYST I,58739.0,BALTIMORE MD,05/01/2015,06/01/2015
10,"

",,,,,
11,UNIVERSITY OF MARYLAND BALTIMORE,BIOINFORMATICS ANALYST II,72800.0,BALTIMORE MD,06/29/2015,07/15/2015
12,UNIVERSITY OF MARYLAND BALTIMORE,BIOINFORMATICS ANALYST II,73265.0,BALTIMORE MD,07/23/2015,12/01/2015
13,UNIVERSITY OF MARYLAND BALTIMORE,CLINICAL ASSISTANT PROFESSOR,151610.0,BALTIMORE MD,10/09/2015,11/01/2015
14,UNIVERSITY OF MARYLAND BALTIMORE,CLINICAL RESEARCH MANAGER,103438.0,BALTIMORE MD,11/02/2015,11/30/2015
15,UNIVERSITY OF MARYLAND BALTIMORE,DENTAL SCHOOL ASSISTANT PROFESSOR,109192.0,BALTIMORE MD,08/14/2015,08/29/2015
16,UNIVERSITY OF MARYLAND BALTIMORE,DIRECTOR SYSTEMS ADMINISTRATION,145933.0,BALTIMORE MD,11/13/2015,01/17/2016
17,UNIVERSITY OF MARYLAND BALTIMORE,INSTRUCTOR,56497.0,BALTIMORE MD,10/06/2015,12/03/2015
18,UNIVERSITY OF MARYLAND BALTIMORE,INSTRUCTOR,160000.0,BALTIMORE MD,02/16/2015,03/02/2015
19,UNIVERSITY OF MARYLAND BALTIMORE,INSTRUCTOR,160000.0,BALTIMORE MD,02/16/2015,03/02/2015
20,UNIVERSITY OF MARYLAND BALTIMORE,MANAGER WEB DEVELOPER,145933.0,BALTIMORE MD,08/25/2015,09/17/2015
21,UNIVERSITY OF MARYLAND BALTIMORE,POSTDOCTORAL FELLOW,41840.0,BALTIMORE MD,08/25/2015,09/21/2015
22,UNIVERSITY OF MARYLAND BALTIMORE,POSTDOCTORAL FELLOW,42000.0,BALTIMORE MD,01/07/2015,03/26/2015
23,UNIVERSITY OF MARYLAND BALTIMORE,POSTDOCTORAL FELLOW,42000.0,BALTIMORE MD,09/10/2015,02/01/2016
24,UNIVERSITY OF MARYLAND BALTIMORE,POSTDOCTORAL FELLOW,42281.0,BALTIMORE MD,05/22/2015,06/08/2015
25,UNIVERSITY OF MARYLAND BALTIMORE,POSTDOCTORAL FELLOW,42840.0,BALTIMORE MD,05/15/2015,07/04/2015
26,UNIVERSITY OF MARYLAND BALTIMORE,POSTDOCTORAL FELLOW,42840.0,BALTIMORE MD,05/15/2015,07/30/2015
27,UNIVERSITY OF MARYLAND BALTIMORE,POSTDOCTORAL FELLOW,43680.0,BALTIMORE MD,09/08/2015,10/06/2015
28,UNIVERSITY OF MARYLAND BALTIMORE,POSTDOCTORAL FELLOW,43680.0,BALTIMORE MD,09/08/2015,10/06/2015
29,UNIVERSITY OF MARYLAND BALTIMORE,POSTDOCTORAL FELLOW,44276.0,BALTIMORE MD,09/29/2015,10/25/2015
30,UNIVERSITY OF MARYLAND BALTIMORE,POSTDOCTORAL FELLOW,44276.0,BALTIMORE MD,08/25/2015,10/25/2015
31,UNIVERSITY OF MARYLAND BALTIMORE,POSTDOCTORAL FELLOW,45635.0,BALTIMORE MD,11/19/2015,03/23/2016
32,UNIVERSITY OF MARYLAND BALTIMORE,POSTDOCTORAL FELLOW,46083.0,BALTIMORE MD,04/28/2015,08/01/2015
33,UNIVERSITY OF MARYLAND BALTIMORE,POSTDOCTORAL FELLOW,46092.0,BALTIMORE MD,01/16/2015,03/31/2015
34,UNIVERSITY OF MARYLAND BALTIMORE,POSTDOCTORAL FELLOW,46092.0,BALTIMORE MD,06/02/2015,06/08/2015
35,UNIVERSITY OF MARYLAND BALTIMORE,POSTDOCTORAL FELLOW,47244.0,BALTIMORE MD,04/06/2015,07/01/2015
36,UNIVERSITY OF MARYLAND BALTIMORE,POSTDOCTORAL FELLOW,47475.0,BALTIMORE MD,07/02/2015,12/01/2015
37,UNIVERSITY OF MARYLAND BALTIMORE,POSTDOCTORAL FELLOW,47475.0,BALTIMORE MD,07/13/2015,12/01/2015
38,UNIVERSITY OF MARYLAND BALTIMORE,POSTDOCTORAL FELLOW,47820.0,BALTIMORE MD,05/15/2015,08/01/2015
39,UNIVERSITY OF MARYLAND BALTIMORE,POSTDOCTORAL FELLOW,48672.0,BALTIMORE MD,06/23/2015,11/15/2015
40,"




",,,,,
