index,company,total_filings,avg_salary
514,UNIVERSITY OF MASSACHUSETTS MEDICAL SCHOOL,834.0,$65825
515,CASE WESTERN RESERVE UNIVERSITY,833.0,$57085
516,HSBC BANK USA NA,833.0,$119534
517,CONNVERTEX TECHNOLOGIES INC,831.0,$76756
518,HM HEALTH SOLUTIONS INC,831.0,$91823
519,SREE INFOTECH LLC,829.0,$76341
520,TRUSTEES OF BOSTON UNIVERSITY,828.0,$92605
521,DOORDASH INC,827.0,$177002
522,CARNEGIE MELLON UNIVERSITY,826.0,$81348
523,HADIAMONDSTAR SOFTWARE SOLUTIONS LLC,824.0,$75835
524,SATYAM-VENTURE ENGINEERING SERVICES PVT LTD,821.0,$68463
525,DELASOFT INC,821.0,$84195
526,TABNER INC,818.0,$89777
527,IT RESOURCES INC,814.0,$79961
528,DEUTSCHE BANK NEW YORK BRANCH,812.0,$124137
529,CIGNITI TECHNOLOGIES INC,811.0,$88557
530,INFOLOB SOLUTIONS INC,811.0,$89149
531,IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,810.0,$67816
532,CREDIT SUISSE SERVICES (USA) LLC,808.0,$105559
533,FRIENDLY CONSULTANTS INC,806.0,$76560
534,SAPPHIRE SOFTWARE SOLUTIONS INC,803.0,$87457
535,LANCESOFT INC,803.0,$80128
536,NEO PRISM SOLUTIONS LLC,802.0,$79236
537,BYTEDANCE INC,802.0,$166579
538,WEBILENT TECHNOLOGY INC,801.0,$81287
539,KPIT INFOSYSTEMS INCORPORATED,801.0,$78501
540,DIVENSI INC,801.0,$69206
541,NXP USA INC,800.0,$108066
542,FORTINET INC,800.0,$126293
543,SAPOT SYSTEMS INC,800.0,$76465
544,BROOKHAVEN NATIONAL LABORATORY,799.0,$89010
545,QUEST GLOBAL SERVICES-NA INC,798.0,$78898
546,VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,796.0,$77599
547,MICROCHIP TECHNOLOGY INC,796.0,$81020
548,BARCLAYS CAPITAL INC,796.0,$143252
549,INFOSTRETCH CORPORATION,793.0,$99253
550,SAMSUNG SEMICONDUCTOR INC,791.0,$136480
551,ADROIT ASSOCIATES INC,791.0,$80203
552,ASML US LP,789.0,$114433
553,RAMPS INTERNATIONAL INC,789.0,$85264
554,CENTRAPRISE CORP,788.0,$81231
555,ETEK IT SERVICES INC,788.0,$80051
556,SPERIDIAN TECHNOLOGIES LLC,786.0,$77788
557,AVANT SYSTEMS INC,784.0,$71656
558,TATA TECHNOLOGIES INC,784.0,$76182
559,THE UNIVERSITY OF GEORGIA,781.0,$66595
560,CITIZENS FINANCIAL GROUP INC,779.0,$101813
561,TECH MATRIX INC,776.0,$75136
562,SMARTSOFT INTERNATIONAL INC,776.0,$72204
563,BARCLAYS SERVICES LLC,776.0,$119311
564,THE BANK OF NEW YORK MELLON,776.0,$131186
565,AMGEN INCORPORATED,775.0,$119756
566,PYRAMID CONSULTING INC,775.0,$85495
567,MOTOROLA MOBILITY LLC,774.0,$95577
568,WHIRLPOOL CORPORATION,774.0,$96362
569,ARM INC,773.0,$115742
570,AMERICAN EXPRESS COMPANY,769.0,$113113
571,NCR CORPORATION,768.0,$93314
572,KEYPIXEL SOFTWARE SOLUTIONS LLC,768.0,$74920
573,INTERNATIONAL SOFTWARE SYSTEMS INC,767.0,$76113
574,THERMO FISHER SCIENTIFIC INC,767.0,$93521
575,TACHYON TECHNOLOGIES LLC,766.0,$79776
576,ALLIED INFORMATICS INC,765.0,$72850
577,XILINX INC,764.0,$129109
578,KJ INFO LLC,764.0,$77487
579,DIZER CORP,763.0,$71557
580,MOODY'S ANALYTICS INC,762.0,$112415
581,3S BUSINESS CORPORATION,762.0,$79981
582,MAXIM INTEGRATED PRODUCTS INC,761.0,$107079
583,STANDAV CORP,760.0,$94439
584,IMPETUS TECHNOLOGIES INC,759.0,$102869
585,LEX NIMBLE SOLUTIONS INC,757.0,$83408
586,ADVENT GLOBAL SOLUTIONS INC,754.0,$74056
587,OREGON HEALTH & SCIENCE UNIVERSITY,752.0,$89465
588,NATIONWIDE INSURANCE,752.0,$92580
589,JEFFERIES LLC,750.0,$107001
590,TECHPILLARS INC,750.0,$79071
591,UNIVERSITY OF MARYLAND BALTIMORE,749.0,$79730
592,NOBLESOFT SOLUTIONS INC,749.0,$83716
593,MICRONET IT SOLUTIONS INC,749.0,$84706
594,APPS ASSOCIATES LLC,748.0,$95077
595,DAMIAN CONSULTING INC,745.0,$70012
596,INFOR (US) INC,745.0,$100247
597,GUIDEWIRE SOFTWARE INC,744.0,$120652
598,ATLASSIAN INC,741.0,$136334
599,APTIV CORPORATION,741.0,$90751
600,CINCINNATI CHILDREN'S HOSPITAL MEDICAL CENTER,740.0,$76666
601,DATASERV INC,740.0,$81991
602,EXPEDENT CORP,739.0,$79040
603,SCEPTER TECHNOLOGIES INC,738.0,$84128
604,CYBERSOURCE CORPORATION,736.0,$110006
605,FRONTIER TECHNOLOGIES LLC,735.0,$84257
606,HARMAN CONNECTED SERVICES INC,735.0,$88932
607,INTUITIVE SURGICAL OPERATIONS INC,733.0,$120930
608,CARDINAL HEALTH INC,732.0,$92058
609,THE LELAND STANFORD JR UNIVERSITY,732.0,$86686
610,NICHE SOFTWARE SOLUTIONS INC,730.0,$68212
611,ARICENT NA INC,728.0,$114463
612,GODADDYCOM LLC,728.0,$123637
613,FEDERAL HOME LOAN MORTGAGE CO,728.0,$97638
614,INFOMERICA INC,726.0,$73517
615,SOFTPATH TECHNOLOGIES LLC,724.0,$74553
616,UNIVERSITY OF ROCHESTER,723.0,$100746
617,C-VISION INC,723.0,$73958
618,GRANT THORNTON LLP,722.0,$96348
619,VSQUARE INFOTECH INC,721.0,$70311
620,NB VENTURES INC,721.0,$102104
621,ARKA TECHNOLOGIES INC,721.0,$78400
622,HALLMARK GLOBAL TECHNOLOGIES INC,718.0,$83723
623,SAAMA TECHNOLOGIES INC,717.0,$109256
624,YELP INC,717.0,$136902
625,DEEMSYS INC,717.0,$77437
626,CALIFORNIA INSTITUTE OF TECHNOLOGY,715.0,$68171
627,THE UNIVERSITY OF ARIZONA,714.0,$75033
628,ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE INC,711.0,$84633
629,PROLIFICS INC,711.0,$96772
630,BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA,710.0,$68863
631,MANHATTAN ASSOCIATES INC,709.0,$98295
632,AXTRIA INC,709.0,$97553
633,KPIT TECHNOLOGIES INC,708.0,$79272
634,NEUMERIC TECHNOLOGIES CORPORATION,708.0,$78200
635,RACKSPACE US INC,707.0,$107758
636,CIGNA HEALTH AND LIFE INSURANCE COMPANY,707.0,$114846
637,STRIPE INC,707.0,$133330
638,UNIVERSITY OF PITTSBURGH PHYSICIANS,706.0,$203104
639,INDIANA UNIV PURDUE UNIV INDIANAPOLIS,706.0,$58226
640,GEOMETRIC AMERICAS INC,706.0,$73967
641,COMPUTEK SOULUTIONS INC,705.0,$71213
642,INTERCONTINENTAL EXCHANGE HOLDINGS INC,705.0,$93616
643,XTGLOBAL INC,703.0,$85640
644,RBC CAPITAL MARKETS LLC,701.0,$133969
645,UNIVERSITY OF MIAMI,699.0,$115726
646,SIEMENS ENERGY INC,698.0,$102455
647,BLACK & VEATCH CORPORATION,695.0,$78747
648,ISITE TECHNOLOGIES INC,694.0,$76731
649,BUSINESS INTELLI SOLUTIONS INC,694.0,$69906
650,SPOTIFY USA INC,693.0,$153673
651,PTC INC,693.0,$92420
652,LHP SOFTWARE LLC,692.0,$75535
653,SBP CONSULTING INC,691.0,$84864
654,LORSHI SYSTEMS LLC,691.0,$70079
655,MACY'S SYSTEMS AND TECHNOLOGY INC,690.0,$125588
656,VYZER SOLUTIONS INC,690.0,$80701
657,UBS SECURITIES LLC,688.0,$121310
658,TECHDATA SERVICE COMPANY LLC,688.0,$96544
659,GLOBAL DATA MART INC,686.0,$72765
660,HCL AMERICA SOLUTIONS INC,685.0,$88120
661,NGA GROUP INC,682.0,$75326
662,YANA SOFTWARE INC,682.0,$70147
663,CBRE INC,682.0,$98145
664,TRISYNC TECHNOLOGIES INC,681.0,$75713
665,DXC TECHNOLOGY SERVICES LLC,679.0,$94606
666,ANIRA SOLUTIONS INC,678.0,$83219
667,IDHASOFT INC,677.0,$66750
668,QUANTUM INTEGRATORS GROUP LLC,677.0,$74747
669,RITE PROS INC,676.0,$86053
670,LARSEN AND TOUBRO INFOTECH LIMITED,675.0,$72341
671,DATA SYSTEMS INTEGRATION GROUP INC,675.0,$76331
672,ZIMMER INC,673.0,$82909
673,ASTRAZENECA PHARMACEUTICALS LP,672.0,$132112
674,PALVAI GLOBAL SERVICES INC,672.0,$72995
675,PRO-TEK CONSULTING,672.0,$80783
676,GEORGIA INSTITUTE OF TECHNOLOGY,671.0,$75235
677,GALAXESOLUTIONS INC,671.0,$108730
678,UNIVERSITY OF WISCONSIN SYSTEM,671.0,$75479
679,AZIMETRY INC,671.0,$64633
680,MENTOR GRAPHICS CORPORATION,670.0,$102697
681,UNIVERSITY OF CONNECTICUT,670.0,$70818
682,JB HUNT TRANSPORT INC,669.0,$93609
683,SAVI TECHNOLOGIES INC,667.0,$80131
684,CSTS TECHNOLOGIES INC,666.0,$67683
685,GLOBAL INFOTECH INC,665.0,$80197
686,CYBAGE SOFTWARE INC,665.0,$80813
687,PEGAFRAME INFOTECH INC,663.0,$66526
688,BELL INFO SOLUTIONS LLC,663.0,$76141
689,RIVERBED TECHNOLOGY INC,662.0,$121225
690,THE UNIVERSITY OF TENNESSEE,662.0,$73325
691,I3INFOTEK INC,662.0,$75216
692,UNIFY SOLUTIONS INC,662.0,$79919
693,PIKE SOLUTIONS INC,661.0,$69752
694,ARROW ELECTRONICS INC,659.0,$112906
695,TECHASPECT SOLUTIONS INC,654.0,$95604
696,RAMP TECHNOLOGY GROUP LLC,654.0,$71377
697,THE PRUDENTIAL INSURANCE COMPANY OF AMERICA,650.0,$108778
698,PRISTINE REHAB CARE LLC,650.0,$64952
699,THE UNIVERSITY OF ALABAMA AT BIRMINGHAM,650.0,$68776
700,WEST VIRGINIA UNIVERSITY,648.0,$158456
701,INSPIRAGE LLC,647.0,$121634
702,AIT GLOBAL INC,647.0,$91385
703,FIRST TEK DOS LLC,646.0,$73874
704,INFO SERVICES LLC,643.0,$85283
705,AMZUR TECHNOLOGIES INC,642.0,$76343
706,AUDIBLE INC,640.0,$128520
707,CLOUDWICK TECHNOLOGIES INC,640.0,$103775
708,SVK SYSTEMS INC,639.0,$79361
709,HERE NORTH AMERICA LLC,638.0,$97901
710,TEXAS TECH UNIVERSITY,637.0,$68315
711,KATALYST TECHNOLOGIES INC,636.0,$76667
712,OVERSTOCKCOM INC,636.0,$100594
713,KAIROS TECHNOLOGIES INC,635.0,$79706
714,WIPRO LLC,635.0,$75793
715,UNICON PHARMA INC,635.0,$77971
716,APPSTEK INC,634.0,$90161
717,HULU LLC,634.0,$139472
718,RAISER TECHNOLOGIES INC,634.0,$57194
719,SG AMERICAS SECURITIES LLC,633.0,$139521
720,OKTA INC,633.0,$135925
721,VIRTUE GROUP LLC,632.0,$74474
722,TECHNOSOFT GROUP INC,630.0,$78011
723,EXPRESS SCRIPTS SERVICES CO,630.0,$113916
724,INDUS VALLEY CONSULTANTS INC,630.0,$74187
725,METLIFE GROUP INC,630.0,$100677
726,PVR TECHNOLOGIES INC,629.0,$86556
727,TRANS AMERICAN INFORMATION SYSTEMS INC,629.0,$102155
728,AMERICAN UNIT INC,629.0,$83417
729,SONATA SOFTWARE NORTH AMERICA INC,628.0,$71396
730,AIG PC GLOBAL SERVICES INC,627.0,$107099
731,UNICORN TECHNOLOGIES LLC,627.0,$77322
732,QUADRANT RESOURCE LLC,627.0,$89000
733,MERCK SHARP & DOHME CORP,626.0,$90634
734,INTELLECT BUSINESS SOLUTIONS LLC,626.0,$77413
735,JNIT TECHNOLOGIES,626.0,$78850
736,BAIN & COMPANY INC,623.0,$134354
737,STATE UNIVERSITY OF NEW YORK AT BUFFALO,622.0,$75904
738,CONCUR TECHNOLOGIES INC,622.0,$116475
739,ITELLIGENCE INC,622.0,$100280
740,MAXIMA CONSULTING INC,622.0,$81931
741,FRED HUTCHINSON CANCER RESEARCH CENTER,621.0,$81609
742,LITMUS7 SYSTEMS CONSULTING INC,620.0,$120048
743,SUCCESSFACTORS INC,619.0,$122511
744,INNOVA SOLUTIONS INC,618.0,$89397
745,VASTEK INC,618.0,$75195
746,INTERNATIONAL TECHNOLOGY SOLUTIONS INC,616.0,$72820
747,MARVEL TECHNOLOGIES INC,616.0,$69969
748,DOCUSIGN INC,616.0,$138694
749,TWO SIGMA INVESTMENTS LP,616.0,$167529
750,CONCH TECHNOLOGIES INC,615.0,$77050
751,UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,615.0,$172032
752,COMMVAULT SYSTEMS INC,615.0,$116437
753,SIEMENS INDUSTRY INC,615.0,$95676
754,SRK SYSTEMS INC,614.0,$84751
755,QUEST IT SOLUTIONS INC,613.0,$72972
756,MACQUARIE HOLDINGS (USA) INC,612.0,$165786
757,ARGHA SERVICES INC,610.0,$63626
758,INSURANCE SERVICES OFFICE INC,610.0,$99948
759,PRELUDE SYSTEMS INC,609.0,$86499
760,LORHAN CORPORATION INC,609.0,$76534
761,SKYWORKS SOLUTIONS INC,609.0,$109931
762,ST BARNABAS HOSPITAL,608.0,$71970
763,ADVANSOFT INTERNATIONAL INC,608.0,$74973
764,OREGON STATE UNIVERSITY,608.0,$68876
765,ESYSTEMS INC,608.0,$92535
766,QUICKEN LOANS INC,607.0,$91706
767,SECURENET SYSTEMS CORPORATION,607.0,$82573
768,ABB INC,606.0,$87417
769,THE PNC FINANCIAL SERVICES GROUP INC,605.0,$103214
770,RED HAT INC,604.0,$110392
771,INFOBIZ SYSTEMS LLC,603.0,$75295
772,UCHICAGO ARGONNE LLC,601.0,$86364
773,PANTAR SOLUTIONS INC,601.0,$91988
774,MOURI TECH LLC,600.0,$86684
775,PFIZER INC,600.0,$90335
776,THE CHILDREN'S HOSPITAL OF PHILADELPHIA,599.0,$73584
777,PARAMOUNT SOFTWARE SOLUTIONS,599.0,$81477
778,ALLIANCEBERNSTEIN LP,599.0,$103381
779,GULFSTREAM AEROSPACE CORPORATION,599.0,$99802
780,SATIN SOLUTIONS LLC,599.0,$77285
781,UNIVERSITY OF CALIFORNIA IRVINE,598.0,$84461
782,RELIANCE GLOBAL SERVICES INC,597.0,$81266
783,MINDLANCE INC,597.0,$100453
784,INTELLISWIFT SOFTWARE INC,595.0,$102061
785,JUNIPER NETWORKS (US) INC,595.0,$112543
786,ELLIE MAE INC,594.0,$132083
787,NORTHWELL HEALTH,594.0,$120309
788,MURPHY-BROWN LLC,594.0,$38176
789,PROMATRIX CORP,594.0,$80307
790,MILLENNIUM INFO TECH INC,594.0,$78223
791,KARWELL TECHNOLOGIIES INC,593.0,$73152
792,WE WORK MANAGEMENT LLC,593.0,$135618
793,OPENLOGIX CORPORATION,592.0,$85618
794,EQUINIX INC,592.0,$135790
795,SHINEWELL TECHNOLOGIES INC,592.0,$71310
796,THE NORTHERN TRUST COMPANY,591.0,$108250
797,BALLY GAMING INC,589.0,$86308
798,MAGIC LEAP INC,587.0,$130539
799,AVIGHNA GLOBAL SOLUTIONS LLC,587.0,$57004
800,APPS SOLUTIONS INC,587.0,$77182
801,REGENERON PHARMACEUTICALS INC,586.0,$116203
802,T2M CONSULTING SERVICES INC,586.0,$68212
803,ISYNC SOLUTIONS INC,585.0,$73243
804,CLOUD HYBRID TECHNOLOGIES LLC,584.0,$73474
805,ONWARD TECHNOLOGIES INC,583.0,$71326
806,SOFTCOM SYSTEMS INC,583.0,$86262
807,NAMITUS TECHNOLOGIES INC,581.0,$79342
808,SOFTNICE INC,581.0,$75474
809,JACOBS ENGINEERING GROUP INC,581.0,$88386
810,ELAN TECHNOLOGIES INC,581.0,$80693
811,BIOGEN INC,580.0,$109825
812,HOUSTON INDEPENDENT SCHOOL DISTRICT,580.0,$53776
813,APPTAD INC,579.0,$89353
814,GARTNER INC,579.0,$111356
815,ISPACE INC,579.0,$77601
816,SAVVY INFO SYSTEMS INC,579.0,$76344
817,WESTERN UNION LLC,578.0,$116893
818,ABBOTT LABORATORIES,578.0,$105724
819,GEO LOGIC SYSTEMS CORP,577.0,$63354
820,SYRAINFOTEK LLC,577.0,$86958
821,SYNERZY SOFTWARE SOLUTIONS INC,577.0,$66191
822,VSLN INTERNATIONAL INC,575.0,$77447
823,THE SHERWIN-WILLIAMS COMPANY,575.0,$95122
824,HUMAC INC,574.0,$75120
825,REI SYSTEMS INC,574.0,$102619
826,VENTURESOFT GLOBAL INC,574.0,$81229
827,I-LINK SOLUTIONS INC,574.0,$83095
828,SOFTHQ,573.0,$70685
829,MPG OPERATIONS LLC,573.0,$120239
830,CHEWY INC,573.0,$124702
831,SEAGATE US LLC,573.0,$105965
832,SARAYU CONSULTANTS INC,572.0,$73823
833,PROCAL TECHNOLOGIES INC,570.0,$88492
834,SMART SOURCE TECHNOLOGIES INC,570.0,$83183
835,MICAN TECHNOLOGIES INC,569.0,$91770
836,VANDERBILT UNIVERSITY,568.0,$66371
837,MAXOTECH SOLUTIONS LLC,568.0,$77591
838,ALPHA CLINICAL SYSTEMS INC,568.0,$68552
839,TASACOM TECHNOLOGIES INC,568.0,$65642
840,BARCLAYS BANK DELAWARE,567.0,$104573
841,EZ2 TECHNOLOGIES INC,566.0,$77693
842,MEDALLIA INC,566.0,$141395
843,SOGETI USA LLC,566.0,$85981
844,CITIGROUP TECHNOLOGY INC,566.0,$126905
845,SCHRILL TECHNOLOGIES INC,565.0,$91876
846,SERVESYS CORPORATION,565.0,$80228
847,DIVERSANT LLC,564.0,$105168
848,ORCHESTRA TECHNOLOGY INC,564.0,$67145
849,TELECOM TECHNOLOGY SERVICES INC,563.0,$72719
850,RIOT GAMES INC,563.0,$111487
851,BIRLASOFT SOLUTIONS INC,563.0,$89972
852,COMSCORE INC,562.0,$88850
853,FARMERS GROUP INC,559.0,$109863
854,MSCI INC,558.0,$98400
855,PALANTIR TECHNOLOGIES INC,558.0,$130778
856,VERINON TECHNOLOGY SOLUTIONS LTD,558.0,$81012
857,TRUIST BANK,558.0,$109597
858,SPRUCE TECHNOLOGY INC,557.0,$90576
859,CLIENT NETWORK SERVICES INC,557.0,$93742
860,QUADRANT 4 SYSTEM CORPORATION,557.0,$74547
861,SILICON STAFF IT SERVICES INC,557.0,$72499
862,QUALCOMM INNOVATION CENTER INC,556.0,$111445
863,VIRTUSA CONSULTING SERVICES PVT LTD,556.0,$93203
864,ANALYSIS GROUP INC,556.0,$110962
865,SRIVEN SYSTEMS OF TX INC,555.0,$79970
866,ATOS IT SOLUTIONS AND SERVICES INC,555.0,$90226
867,CAPGEMINI FINANCIAL SERVICES USA INC (LEGACY KANBAY),555.0,$105606
868,ZEN3 INFOSOLUTIONS AMERICA INC,555.0,$97226
869,BOSTON SCIENTIFIC CORPORATION,554.0,$99499
870,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH INC,554.0,$93891
871,DETROIT ENGINEERED PRODUCTS INC,554.0,$74092
872,IT TRAILBLAZERS LLC,554.0,$82584
873,SYSTIME COMPUTER CORPORATION,554.0,$87724
874,AMERICAN GENERAL LIFE INSURANCE COMPANY,553.0,$101970
875,NATIONAL OILWELL VARCO LP,552.0,$89218
876,ASTIR SERVICES LLC,552.0,$78613
877,MERCURY SYSTEMS INC,552.0,$72408
878,BI LABS INC,552.0,$79718
879,MEMORIAL SLOAN KETTERING CANCER CENTER,551.0,$115094
880,BAYER US LLC,551.0,$125099
881,SPARTA CONSULTING INC,548.0,$109822
882,NOVARTIS PHARMACEUTICALS CORPORATION,548.0,$120723
883,VIRGO INC,548.0,$74664
884,GENUINEIT LLC,547.0,$68941
885,AMADEUS NORTH AMERICA INC,546.0,$102988
886,VIRGINIA COMMONWEALTH UNIVERSITY,546.0,$61411
887,SIEMENS PLM SOFTWARE INC,546.0,$90691
888,THE FLORIDA STATE UNIVERSITY,545.0,$73603
889,VIGILANT TECHNOLOGIES LLC,545.0,$72991
890,HUMANA INC,545.0,$101805
891,CLOUDERA INC,545.0,$136088
892,REDEEMSOFT LLC,545.0,$80209
893,UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER,545.0,$119487
894,MARUTHI TECHNOLOGIES LLC,544.0,$75697
895,HEXACORP LLC,542.0,$72294
896,SAXON GLOBAL INC,542.0,$80778
897,DELPHI CORPORATION,542.0,$78012
898,BDSN INTERNATIONAL INC,542.0,$72294
899,CONTINENTAL AUTOMOTIVE SYSTEMS INC,542.0,$96847
900,ARCADIS US INC,541.0,$79521
901,SAI TECHNOLOGIES LLC,539.0,$75124
902,ROCKWELL AUTOMATION INC,538.0,$94403
903,INFOMATICS CORP,538.0,$80823
904,JEAN MARTIN INC,538.0,$78388
905,ACI INFOTECH INC,537.0,$80620
906,THE DOW CHEMICAL COMPANY,537.0,$100240
907,RUSH UNIVERSITY MEDICAL CENTER,537.0,$90955
908,SVAM INTERNATIONAL INC,537.0,$79304
909,I 5 TECH INC,536.0,$83460
910,WM RICE UNIVERSITY,536.0,$66345
911,CUMMINS EMISSION SOLUTIONS INC,535.0,$73193
912,EVEREST COMPUTERS INC,535.0,$78438
913,AMAZON DATA SERVICES INC,535.0,$124307
914,VASTIKA INC,535.0,$74588
915,JADE GLOBAL INC,534.0,$108877
916,GEORGETOWN UNIVERSITY,534.0,$78150
917,CITADEL LLC,534.0,$148181
918,PARAM CONSULTING SERVICES INC,534.0,$71420
919,OPUS CONSULTING SOLUTIONS INC,534.0,$80198
920,ONLY IT CONSULTING LLC,533.0,$75272
921,THE UNIVERSITY OF TENNESSEE HEALTH SCIENCE CENTER,533.0,$57520
922,FORMAC INC,533.0,$98379
923,OSLO SOLUTIONS LLC,532.0,$86818
924,WAYNE STATE UNIVERSITY,532.0,$73035
925,SYSFORE TECHNOLOGIES INC,532.0,$78000
926,FIREEYE INC,532.0,$120236
927,HGST INC,532.0,$119229
928,BOX INC,531.0,$147664
929,CYPRESS SEMICONDUCTOR CORPORATION,531.0,$112564
930,QUALCOMM INCORPORATED,531.0,$95472
931,GE HEALTHCARE IITS USA CORP,531.0,$109496
932,IMETRIS CORPORATION,531.0,$75565
933,GOVERNMENT EMPLOYEES INSURANCE COMPANY (GEICO),530.0,$107297
934,MONSANTO COMPANY,530.0,$97717
935,MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY,530.0,$111624
936,SRI TECH SOLUTIONS INC,529.0,$78789
937,ONCORRE INC,529.0,$70010
938,CREDIT KARMA INC,528.0,$144300
939,SMARTPLAY INC,528.0,$120309
940,EATEAM INC,527.0,$71816
941,SUNRAY ENTERPRISE INC,527.0,$70804
942,CELLCO PARTNERSHIP,526.0,$111371
943,SUMMITWORKS TECHNOLOGIES INC,526.0,$68265
944,SAS INSTITUTE INC,525.0,$103551
945,SRNL INTERNATIONAL INC,523.0,$76721
946,AQUA INFORMATION SYSTEMS INC,523.0,$62902
947,CONFLUX SYSTEMS INC,522.0,$84272
948,TECHNOGEN INC,522.0,$95728
949,IPIVOT LLC,521.0,$83347
950,CRITICALRIVER INC,521.0,$76619
951,PARTNERS HEALTHCARE,521.0,$68529
952,AGILITY TECHNOLOGIES LLC,521.0,$76078
953,M ARTHUR GENSLER JR & ASSOCIATES INC,520.0,$65658
954,APPRIDAT SOLUTIONS LLC,520.0,$82761
955,ENTERPRISE IT RESOURCES INC,520.0,$76462
956,TRIPADVISOR LLC,519.0,$107159
957,SENA INFO TECHNOLOGIES INC,518.0,$78177
958,BHRIGUS INC,517.0,$70893
959,SOFTWARE PARADIGMS INTERNATIONAL GROUP LLC,517.0,$72285
960,AMERISOFTPRO SYSTEMS LLC,516.0,$86533
961,SPLN INTERNATIONAL LLC,515.0,$76752
962,MULTIVISION LLC,515.0,$90516
963,KEYSIGHT TECHNOLOGIES INC,515.0,$108650
964,STIAOS TECHNOLOGIES INC,514.0,$72758
965,OBERON IT INC,514.0,$68977
966,INFOCEPTS LLC,514.0,$94145
967,INTEL MOBILE COMMUNICATIONS,513.0,$109426
968,ALCATEL-LUCENT USA INC,512.0,$111296
969,SINGULAR ANALYSTS INC,512.0,$73770
970,INCEDO INC,511.0,$108685
971,ADBAKX LLC,511.0,$84083
972,IMCS GROUP INC,511.0,$73864
973,WINDYCITY TECHNOLOGIES INC,510.0,$77276
974,INTERACTIVE COMMUNICATIONS INTERNATIONAL INC,510.0,$102245
975,KANSAS STATE UNIVERSITY,509.0,$60963
976,GLOBALPOINT INC,509.0,$83778
977,DATA WAREHOUSE LABS INC,509.0,$74562
978,UNIVERSITY OF CALIFORNIA AT SANTA BARBARA,509.0,$77836
979,HERMES MICROVISION INC,508.0,$109102
980,WASHINGTON STATE UNIVERSITY,508.0,$68596
981,SUNTRUST BANKS INC,508.0,$100318
982,PACIFIC INVESTMENT MANAGEMENT COMPANY LLC,506.0,$134358
983,INDSOFT INC,506.0,$84366
984,IBLESOFT INCDUNS#791327054,505.0,$83385
985,AMERICAN INFORMATION TECHNOLOGY CORPORATION,505.0,$55222
986,DAVITA INC,504.0,$95397
987,HORTONWORKS INC,503.0,$133377
988,CIGNITI INC,503.0,$71281
989,IIT JOBS INC,503.0,$90011
990,SANTANDER BANK NA,502.0,$99719
991,SAIPSIT INC,502.0,$84672
992,NORTHEASTERN UNIVERSITY,502.0,$88901
993,MERIDIANSOFT INC,501.0,$77808
994,ROKU INC,501.0,$183883
995,VALIDATION ASSOCIATES LLC,501.0,$73549
996,SKILLSIGHT INC,501.0,$68961
997,SIEMENS MEDICAL SOLUTIONS USA INC,501.0,$111494
998,RAPIDIT INC,500.0,$82005
999,EVERCORE PARTNERS SERVICES EAST LLC,499.0,$126825
1000,HARTFORD FIRE INSURANCE COMPANY,499.0,$102739
1001,DENVER PUBLIC SCHOOLS DISTRICT 1,499.0,$47314
1002,OPENWAVE COMPUTING LLC,498.0,$76135
1003,VANDERBILT UNIVERSITY MEDICAL CENTER,498.0,$82193
1004,NOKIA SOLUTIONS AND NETWORKS US LLC,496.0,$94766
1005,NIHAKI SYSTEMS INC,496.0,$77843
1006,WAYNSYS INC,496.0,$79197
1007,ECONTENTI INC,496.0,$68286
1008,KA-SAPSOLUTIONS INC,495.0,$75409
1009,ESTRADA CONSULTING INC,495.0,$76171
1010,RENEE SYSTEMS INC,494.0,$76607
1011,UNIVERSITY OF NOTRE DAME DU LAC,494.0,$80226
1012,DATA S SOLUTIONS LLC,494.0,$79072
1013,COGENT INFOTECH CORPORATION,493.0,$75957
1014,INNOCORE SOLUTIONS INC,493.0,$93061
1015,SAICON CONSULTANTS INC,492.0,$84515
1016,REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE,492.0,$74421
1017,PNR SOFTWARE SOLUTIONS CORPORATION,492.0,$72246
1018,CITADEL AMERICAS LLC,490.0,$174992
1019,MOVE INC,489.0,$141534
1020,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,488.0,$96188
1021,APPLIED COMPUTER TECHNIQUES,488.0,$77841
1022,CEDARS-SINAI MEDICAL CENTER,488.0,$82976
1023,SCHWEITZER ENGINEERING LABORATORIES INC,488.0,$81494
1024,PREMIER IT SOLUTIONS LLC,488.0,$87819
1025,SVB FINANCIAL GROUP,487.0,$120714
1026,UNIVERSITY OF OKLAHOMA,487.0,$66116
1027,NITEOSOFT INC,487.0,$75735
1028,FLEXERA GLOBAL INC,487.0,$81536
1029,THOUGHTWORKS INC,486.0,$125603
1030,KSOFT SYSTEMS INC,485.0,$76053
1031,JNIT TECHNOLOGIES INC,484.0,$91002
1032,GLAXOSMITHKLINE LLC,484.0,$96034
